IoU,P,R,f1
0.7140098810195923,0.8350267178445097,0.831272945231138,0.833145603364121
0.5449330806732178,0.773955773955774,0.6480779642663779,0.7054455445544554
0.6612843871116638,0.8018094849642182,0.7904953390605008,0.7961122155953171
0.7480204105377197,0.8583145313738643,0.8533967926759026,0.8558485977046439
0.7818553447723389,0.852755905511811,0.9038809291973849,0.8775744479708286
0.692974328994751,0.8282461813497384,0.8092681548460017,0.8186471948652652
0.69776850938797,0.8955567451820129,0.7595804576825281,0.8219830974842767
0.6610502600669861,0.8793394000674082,0.7269940787182166,0.795942493231133
0.2837822437286377,0.7184339786188962,0.3192937399678973,0.44210339156331957
0.7083027362823486,0.8646809563576753,0.7966034079899698,0.8292473118279569
0.8383227586746216,0.9283109248271733,0.8963523599285189,0.9120517688584646
0.7053297162055969,0.8453806437438207,0.8097969062401347,0.8272062775448781
0.6190771460533142,0.9111228907147274,0.6588653690531965,0.764728418710993
0.6971749663352966,0.845501215887598,0.7989582801409386,0.8215710985087167
0.636161208152771,0.7812839410395656,0.7740032664040734,0.7776265624245934
0.6513527035713196,0.7876777251184834,0.7900693123964915,0.7888717061444473
0.6968621611595154,0.8411551315376046,0.8024634166280622,0.8213538616015397
0.6507350206375122,0.7909110154540964,0.7859416854830793,0.788418520238045
0.7380335927009583,0.8277298423088366,0.8719701492537314,0.8492742457170684
0.4144590497016907,0.6315585672797677,0.5466275659824047,0.5860318886144172
0.5242758393287659,0.6862311892950936,0.6895800607393444,0.6879015492619328
0.21760210394859314,0.3912923518375455,0.32895713490443496,0.3574272896819396
0.7535252571105957,0.9278412853810936,0.8004322229674342,0.8594404288800576
0.292015939950943,0.3584964859437751,0.6116047532384113,0.45203149107884644
0.7180581092834473,0.8700777153906221,0.8042966400274985,0.8358950085289941
0.6746098399162292,0.7884895527580283,0.8236616775307184,0.8056919419697407
0.7015047669410706,0.8513600411549096,0.7994143042598798,0.8245698715453483
0.6845454573631287,0.9410539470943553,0.7152129175241412,0.8127361036157582
0.3260887563228607,0.6628384608936206,0.3909324631662217,0.4918053179909812
0.5432348847389221,0.8136450692010263,0.6204293075418148,0.7040210118191482
0.22183459997177124,0.7527855153203342,0.23926516157591854,0.36311723211286534
0.5861108899116516,0.7512536967982513,0.7272444375291738,0.7390541245671458
0.7422816753387451,0.8833046213766759,0.8229875431801529,0.8520799841043334
0.7948981523513794,0.9369840187836098,0.8397936324757315,0.8857306508197895
0.7093295454978943,0.8780126065999259,0.7868773222970727,0.8299506133503266
0.5951753854751587,0.7416208547614825,0.7508753029894963,0.7462193870723112
0.3884432911872864,0.6095337986907302,0.5171218165081314,0.5595378409336145
0.7438546419143677,0.8626170193552272,0.8438208533317629,0.8531154178202496
0.6608154773712158,0.8895115879714062,0.7199064846637003,0.7957722996308205
0.6833970546722412,0.8403974602127484,0.7853207474475054,0.8119261486984405
0.681283712387085,0.8191986872692465,0.8018524467287718,0.8104327592970874
0.6092684864997864,0.8328116723648096,0.6941740753376547,0.7571993038757484
0.44835758209228516,0.7808807733619764,0.5128843012030299,0.6191255238564802
0.6751527190208435,0.8675975834750208,0.7527069580591503,0.8060790069237491
0.5784706473350525,0.7678169449598021,0.7011135958076393,0.7329507887031266
0.28317931294441223,0.68487053701959,0.32560546150994685,0.4413713687516357
0.5702291131019592,0.76675902568132,0.6898976744186046,0.7263005327483547
0.810785174369812,0.8823053026516422,0.9091092813883294,0.8955067652177263
0.4185585379600525,0.48433622102552093,0.7550186144974086,0.5901181034974611
0.6263087391853333,0.7994450867052023,0.7430585403593226,0.7702212024682007
0.770582377910614,0.8971800387638176,0.8452254349178321,0.8704281522502789
0.7800748348236084,0.9262675277411068,0.831720757376734,0.8764517218095881
0.4050874412059784,0.7643781606239821,0.46288798920377866,0.576601040959493
0.6926959156990051,0.7673088829806607,0.8769016253563922,0.8184528723352595
0.6777469515800476,0.838763147584461,0.7792742341938735,0.8079251034182452
0.06343283504247665,0.8233618233618234,0.06430796617712506,0.11929824561403508
0.4480627477169037,0.4572126181647255,0.9572455646373801,0.6188443831791391
0.6645205616950989,0.737741565432244,0.870052381447948,0.7984528205781231
0.7270972728729248,0.8818131428219499,0.8056040060766331,0.8419876506909733
