IoU,P,R,f1
0.6327858567237854,0.7184391492083799,0.8414625009365401,0.7750996394002656
0.6816298365592957,0.7707174231332358,0.8550081212777477,0.8106776180698153
0.5086415410041809,0.5919816534040672,0.783220617802961,0.6743040584134578
0.5671268701553345,0.6017844941923556,0.9078121684299876,0.7237791393249465
0.3908332288265228,0.7888386123680241,0.43650020865210737,0.5620130742365899
0.6112380027770996,0.7613086770981508,0.7561458038994067,0.7587184576127021
0.5967198610305786,0.8134031357675151,0.6913594260806393,0.747432105734657
0.6184495687484741,0.6666666666666666,0.8952978056426333,0.7642493979127643
0.46371403336524963,0.7461712495649148,0.550561797752809,0.6336128865408062
0.7269220352172852,0.8252456414046035,0.859178207100929,0.8418701400231743
0.7227492332458496,0.7881320711152159,0.8970356354462314,0.8390649197414025
0.5441468358039856,0.594279316696161,0.865779227612333,0.7047863796980406
0.680069625377655,0.8928085445069193,0.7405340942970314,0.8095731430500425
0.5881547331809998,0.7156631669166488,0.7675024255732013,0.7406768593921323
0.5966985821723938,0.7538503635368619,0.7410894418291862,0.7474154385760932
0.6820518970489502,0.7786244461377811,0.8461326136293934,0.8109760578491748
0.7055969834327698,0.7776605691544197,0.8839142164209608,0.827390062238547
0.6767632961273193,0.7488274455706831,0.8755031345104695,0.8072257997775882
0.6872115731239319,0.7335756387417655,0.9157761194029851,0.8146122237637827
0.30592581629753113,0.4091449302558329,0.548051948051948,0.46851944703101495
0.5142749547958374,0.624848282291685,0.7439941355115719,0.6792359026330382
0.14780586957931519,0.2680650341228422,0.24781963258489514,0.25754507762028733
0.725494921207428,0.8557138448878832,0.8266140050177608,0.8409122496683302
0.1809934824705124,0.20957589110079472,0.5702815544374265,0.30651054403176153
0.6474328637123108,0.7776600218689544,0.7945003007648019,0.785989968545439
0.7010598182678223,0.7613896641324223,0.8984532921483568,0.8242623770628438
0.6052595376968384,0.7189673109565788,0.7928327748090451,0.7540955361886029
0.6096941828727722,0.7367043159548209,0.7795630837422828,0.757527977541053
0.273291677236557,0.6265894856709053,0.3264609908039158,0.4292679755558445
0.5059179663658142,0.7441245396719116,0.6124659006365214,0.6719064101207659
0.2589634358882904,0.5666019417475728,0.3229305002213369,0.4113915127590583
0.460909366607666,0.6172067970121715,0.6454022094289715,0.630989686330585
0.6653419733047485,0.8503425466572171,0.7535852611745002,0.7990454520228648
0.7485383152961731,0.8132787686293672,0.9038761794854389,0.8561875060283574
0.6468026638031006,0.70125278792768,0.8928193819291302,0.785525389041715
0.4916679263114929,0.6011314894246413,0.7297333692431995,0.6592190097725154
0.4728073477745056,0.6825627202985693,0.6060754832770788,0.6420491483552204
