IoU,P,R,f1
0.7197096943855286,0.8432738868548483,0.8308444203095303,0.8370130123871674
0.5042366981506348,0.9520065075921909,0.5173887415266726,0.6704219973267138
0.5487066507339478,0.7319781581241683,0.6866686754767337,0.7085998578535894
0.7292274236679077,0.8666646926447945,0.8213784587753269,0.84341411405354
0.7151140570640564,0.8840579710144928,0.7891222701349284,0.8338968102307807
0.6498551964759827,0.7939217318900916,0.7817175650748104,0.7877723845915522
0.6153862476348877,0.8882607249750581,0.667022339266255,0.7619059967585088
0.6485325694084167,0.8886224934612031,0.7059129079733356,0.7867998263135041
0.5043547749519348,0.8164393660154811,0.568860353130016,0.670526355621145
0.7901790142059326,0.9066009970568802,0.8602040234797971,0.8827933091589659
0.7680449485778809,0.8989881956155144,0.8405865657521286,0.86880704041721
0.7166836261749268,0.8210180623973727,0.8493897804997989,0.8349629759838281
0.650056779384613,0.9377717544751256,0.6793618326856208,0.7879204820420362
0.6650952696800232,0.7991770426975899,0.7985582699239087,0.7988675364912328
0.6600083708763123,0.836939213146776,0.7574022480545681,0.7951867989994351
0.7136764526367188,0.8721515347566674,0.797063364320205,0.8329185617437571
0.7240943908691406,0.8217842431826476,0.8589802981170123,0.8399706881620145
0.7226532697677612,0.8416244662893456,0.8363923426090388,0.839000247463499
0.8091299533843994,0.8851816317078012,0.9040089199736455,0.8944962179781853
0.25676921010017395,0.5729551993423757,0.3175398633257403,0.4086179100102594
0.5854562520980835,0.689390213916892,0.7952208749911366,0.7385334694280729
0.1998751014471054,0.33555735595482056,0.33079633544749826,0.3331598372291095
0.75761479139328,0.9294577205882353,0.8038353578259682,0.8620942282844699
0.25768184661865234,0.3063626723223754,0.6185633229846912,0.40977270309563496
0.7560772895812988,0.8794449808976027,0.8435008456148828,0.8610979795696052
0.635441780090332,0.7883534318614561,0.766141645555678,0.7770888494151555
0.6214717030525208,0.7345277777777778,0.801497332686712,0.7665526437847867
0.7232110500335693,0.8897951946094512,0.7943644134874149,0.8393760715928575
0.22045159339904785,0.7852060234982624,0.23459903095026205,0.361262324412806
0.46419620513916016,0.7558114114989434,0.546095930079503,0.6340628438684436
0.13664188981056213,0.7767191383595692,0.1422286277781992,0.2404308520869398
0.4770843982696533,0.6417517405576999,0.6502668323707873,0.6459812269649049
0.3326394855976105,0.8440960981427841,0.35441407926742025,0.4992190255454225
0.7250093817710876,0.8492621222768798,0.8320853773990877,0.840586010520367
0.6883591413497925,0.9338028169014084,0.7236727209221097,0.8154179170561323
0.562138020992279,0.7412028949338657,0.6994159758854559,0.7197033949644993
0.47390511631965637,0.7558463009649656,0.5595636504054576,0.6430605377020081
0.8112751245498657,0.9040478871569964,0.8877120493496669,0.8958054996843481
0.6752166152000427,0.9234300020863759,0.7152630388174835,0.8061245552897751
0.639779806137085,0.8158127022823757,0.7477942592949336,0.7803240461544647
0.6285277605056763,0.7331487055990368,0.8149694828140058,0.7718969080006592
0.6422436237335205,0.8080890220415151,0.7578317847036866,0.7821539162584533
0.5586276650428772,0.8558177883128929,0.6166641912965989,0.7168198886443091
0.6727709770202637,0.8908906948660205,0.7331820196349669,0.8043790565579024
0.4780423939228058,0.6685849156677628,0.6265003354787406,0.6468588436028685
0.31857001781463623,0.7160413761795129,0.364636139962681,0.48320532177947
0.6519802212715149,0.8450433108758422,0.7405116671352263,0.7893317350913994
0.8381457924842834,0.8986907455843889,0.9256002603082837,0.9119470362597341
0.695777416229248,0.8240037215072105,0.8172241445597846,0.8205999305099796
0.5528686046600342,0.836144438648351,0.6200464196681853,0.7120610084158049
0.6834912896156311,0.9109329947358675,0.7324393019323414,0.8119926666941764
0.8049956560134888,0.9221467786348322,0.8636946144234774,0.8919641010794492
0.5126852989196777,0.6738157607509278,0.6819286424389706,0.6778479275322536
0.6239426136016846,0.6688577551738477,0.9028323474806788,0.7684293693958548
0.584973931312561,0.6897711426462144,0.7938261115831209,0.7381495786516854
0.029111111536622047,0.9562043795620438,0.02914997774810859,0.056575253724897426
0.5756654739379883,0.6841176310858881,0.7840781775177393,0.7306950506822895
0.3450826108455658,0.6914843566219713,0.40788149998265516,0.5131024852174292
0.6227571964263916,0.8838004936340754,0.6782947917252762,0.7675297113752123
0.5649072527885437,0.6273595670459362,0.8501811434125651,0.7219689721800139
0.7717995047569275,0.8094353573425186,0.9431789526771455,0.8712041071827172
0.6356114149093628,0.7239075527552212,0.8389990557129368,0.7772156696942748
0.36395886540412903,0.5491035590045491,0.5190994181634202,0.5336801040312094
0.761549174785614,0.8296674707913533,0.902681282486748,0.8646357093562062
0.4533926248550415,0.7400242475357124,0.5392908818520558,0.6239093400488853
0.6653991341590881,0.9055678236097298,0.7150120453063235,0.7990866900696139
0.6278658509254456,0.8323185946701268,0.718786363832263,0.7713975162461553
0.5180517435073853,0.8002979885771045,0.5949638162752917,0.6825218661979288
0.7982115745544434,0.8610773861992117,0.9161999309850556,0.8877838412503805
0.7191272974014282,0.8716731649432107,0.8042752867570386,0.8366190308322261
0.6138347387313843,0.7655979202772963,0.7558954066627454,0.760715727162653
0.6599506139755249,0.8951253198089071,0.7152549118934761,0.7951448597660924
0.7191770672798157,0.8740732969646104,0.802304679976889,0.8366527196652721
0.6378418207168579,0.7698967043777668,0.7880771360958663,0.7788808439700431
0.7278825044631958,0.7857597800945325,0.9081047574771424,0.8425138831479252
0.5594943165779114,0.7821054820153857,0.6628098202748737,0.717532983627404
0.6733680367469788,0.8321005344280071,0.7792445645275355,0.8048056484160651
0.5477883815765381,0.7166193707587909,0.6992607931424719,0.7078336745637125
0.73690265417099,0.8508891928864569,0.8461738521556467,0.8485249716630053
0.7314279079437256,0.8412242780563721,0.8485757644473129,0.844884029906477
0.5258388519287109,0.7372883368561047,0.6470808929278613,0.689245593002087
0.6554712653160095,0.7925764192139738,0.7911944202266783,0.7918848167539269
0.704389750957489,0.8321123516427269,0.821080210865242,0.8265594712256507
0.6491770148277283,0.8213149040647449,0.7559424171409441,0.787273915885814
0.74152010679245,0.8637672033822075,0.839728033930172,0.8515780021949029
0.6415038108825684,0.8493728556161764,0.7238519796759658,0.7816050309257006
0.6549295783042908,0.7389041095890411,0.852132701421801,0.7914893617021278
0.6598233580589294,0.8423822862954307,0.7527582908163265,0.7950524977476907
0.022191401571035385,0.036281179138321996,0.05405405405405406,0.04341926729986432
0.7882143259048462,0.8874590970228655,0.8757503120109352,0.881565827782874
0.28770145773887634,0.3140187270177035,0.7744121909035666,0.44684495151784875
0.48280784487724304,0.7760346665430783,0.5609735669536667,0.6512075603780189
0.577001690864563,0.7649304272872799,0.7013661510669527,0.7317705265637884
0.5462082624435425,0.708770734834522,0.7042699313227829,0.7065131651206678
0.6360485553741455,0.8904321530292908,0.6900564078807532,0.777542372881356
0.7686442732810974,0.8852213368437268,0.853729690306722,0.8691903635663605
0.5797308087348938,0.7235261668772355,0.744702283924614,0.733961514856132
0.5748501420021057,0.8649375854616029,0.6315399603858355,0.730037881255759
0.6123448014259338,0.7842086134835544,0.7364334470989761,0.759570535950013
0.5552544593811035,0.7282978948481963,0.7003234797469127,0.7140367981082371
0.6309241056442261,0.8093988046408063,0.7410196987253765,0.7737013678066922
0.5655006170272827,0.72651891184732,0.7184331183532142,0.722453391492333
0.6601437926292419,0.761327805675581,0.8324129345293197,0.7952850760151878
0.7116314768791199,0.8205840519157258,0.8427599744362275,0.8315241870101792
0.5589599013328552,0.7562720501764014,0.6817740083046205,0.7170933420062259
0.5029070377349854,0.7529512770980897,0.6022892025944296,0.6692456889699103
0.7488627433776855,0.8974569731942161,0.8189346395224246,0.8563996670508388
0.7018619775772095,0.8198364954496375,0.8298574710592643,0.8248165473208149
0.5878508687019348,0.7812005024851166,0.7037146371463715,0.7404358854894653
0.5974310636520386,0.864010505076386,0.6594392431983183,0.7479897964842235
0.4663389027118683,0.6192056603085452,0.6538550412077332,0.6360588180200429
0.511762797832489,0.6460176991150443,0.7111945589664137,0.6770411479426028
0.5757411122322083,0.7240571984295645,0.7375798047992955,0.7307559481614775
0.48476704955101013,0.704209179488862,0.6087116807985707,0.6529873448527622
0.5168949961662292,0.7475685411246749,0.6261901568995575,0.6815171583383505
0.6520147919654846,0.8583908370541623,0.7306005347432932,0.7893570924316561
0.5370275974273682,0.6819015375934546,0.7165302976402229,0.6987871691458143
0.7532622218132019,0.850721685232543,0.8679904475499735,0.8592693124356982
0.6481630206108093,0.7941239453509786,0.7790756302521008,0.7865278160724511
0.5940051674842834,0.9451188575812699,0.6152259893832113,0.7452989451291508
0.697920024394989,0.8230840573126644,0.8210947678480391,0.8220882091612002
0.7985098361968994,0.8532757051865332,0.9256014805675509,0.8879682783926139
0.6029282212257385,0.7683991351005045,0.736829980033789,0.7522835077815672
0.5592390894889832,0.7581414048589972,0.6806755188861673,0.7173230806852608
0.5137534737586975,0.6213890737214052,0.7478529809736835,0.6787808912727454
0.6337435841560364,0.8711295948484036,0.6993053685854289,0.7758176767525912
0.6803210377693176,0.8055935619602478,0.8139521055995719,0.8097512643814143
0.505001962184906,0.7147107870385508,0.6325018808958852,0.6710980795505136
0.6748133301734924,0.8469826361932173,0.7685038828946464,0.8058370490474261
