IoU,P,R,f1
0.6378348469734192,0.7142410797975379,0.856372218476062,0.7788756388415673
0.6786510944366455,0.7657823392718822,0.8564158094206822,0.8085671931707815
0.5062952637672424,0.5894687534442853,0.7820508133796381,0.6722390686128176
0.567943274974823,0.6037640494865367,0.9054172855973566,0.7244436359226244
0.37756848335266113,0.7577319587628866,0.4294060370009737,0.5481665630826601
0.6110707521438599,0.7611793611793611,0.756017364946441,0.7585895816686857
0.5967198610305786,0.8134031357675151,0.6913594260806393,0.747432105734657
0.6059407591819763,0.6631484511055993,0.8753744339951236,0.7546240691808791
0.45780521631240845,0.7453920098774143,0.5426645264847512,0.6280746080107007
0.7269220352172852,0.8252456414046035,0.859178207100929,0.8418701400231743
0.7185575366020203,0.8264887063655031,0.8462104488594555,0.8362333142886823
0.5441468358039856,0.594279316696161,0.865779227612333,0.7047863796980406
0.6202689409255981,0.8967380428256955,0.6679798969291707,0.7656370138032877
0.5909838080406189,0.7166516395387462,0.7711790838993005,0.7429161747343566
0.596259355545044,0.7549638989169675,0.7393409549428379,0.7470707580596623
0.6820518970489502,0.7786244461377811,0.8461326136293934,0.8109760578491748
0.7055969834327698,0.7776605691544197,0.8839142164209608,0.827390062238547
0.620766818523407,0.7542342930157954,0.7781720264224506,0.7660161939407327
0.6872115731239319,0.7335756387417655,0.9157761194029851,0.8146122237637827
0.3194904327392578,0.4491404011461318,0.5253456221198156,0.48426337130720215
0.5071207284927368,0.6285174143823166,0.7241805424651796,0.6729663185963
0.14780586957931519,0.2680650341228422,0.24781963258489514,0.25754507762028733
0.725494921207428,0.8557138448878832,0.8266140050177608,0.8409122496683302
0.18080490827560425,0.20804054832392582,0.5800235520822182,0.30624010852362654
0.6501668095588684,0.7823744663549502,0.7937097189997422,0.7880013309103939
0.6846697330474854,0.7698432041595581,0.8608871425651275,0.8128236744759556
0.6052595376968384,0.7189673109565788,0.7928327748090451,0.7540955361886029
0.6035598516464233,0.7385013706975327,0.7676112078518283,0.7527749747729565
0.29318585991859436,0.6188114578879863,0.35780678334816574,0.4534319100278813
0.5201581120491028,0.7425678725736764,0.6345925987159351,0.6843473738949558
0.2589634358882904,0.5666019417475728,0.3229305002213369,0.4113915127590583
0.47827237844467163,0.6218899761815938,0.6743737358020849,0.6470693619181271
0.669257640838623,0.8639880712501008,0.7480721588331763,0.801862622257962
0.7616342306137085,0.8311728974888847,0.9010250492159392,0.8646905537459284
0.6436728835105896,0.7011197860707208,0.8870797208712201,0.7832128664017284
0.4893905222415924,0.5976403131547028,0.7298680312415836,0.6571688390421339
0.4730917811393738,0.6750752375477631,0.6125805461798097,0.6423113427601627
0.7566378116607666,0.8293367485966537,0.8961750242925709,0.8614613849615761
0.6212067604064941,0.823299384969496,0.7167713506932848,0.7663510493699173
0.5555716156959534,0.6893771055838291,0.7410903486804084,0.7142989769203631
0.6235940456390381,0.6806100938287934,0.8815719027733162,0.7681649599962679
0.5430354475975037,0.7004611042652145,0.7072788938168536,0.7038534895100007
0.47431424260139465,0.7299411071849234,0.5752636269122233,0.643437091180929
0.6570348739624023,0.8287281477004481,0.7602707481142833,0.7930248038498892
0.5241010189056396,0.6723338151847936,0.7038919382891735,0.6877510483337013
0.24541659653186798,0.6045352922389013,0.2923514148029161,0.39411164553272116
0.6066612601280212,0.7318137391790003,0.780093023255814,0.7551825369666625
0.8005095720291138,0.8418452935694315,0.942207271518257,0.8892033481710261
0.3951551020145416,0.4209648219800504,0.8656836265420834,0.5664676379269167
0.5393902659416199,0.7105681717769727,0.6912662253932778,0.7007843137254902
0.6334853768348694,0.8380506441167563,0.7218532415675101,0.7756241645465913
