IoU,P,R,f1
0.4988103210926056,0.7832129514321295,0.5787110309543966,0.6656083312166624
0.3357330560684204,0.6947268857886025,0.3938337801608579,0.5026948413037899
0.6239593625068665,0.7016090441440364,0.8493482983345402,0.7684420859538784
0.596698522567749,0.7084103253261661,0.7909659268521413,0.7474153718910617
0.5270252227783203,0.913421896472744,0.5547364028376687,0.6902639549978364
0.6426697373390198,0.7986579004564225,0.7669249432574157,0.7824698225954565
0.4709314703941345,0.7425075872534143,0.5628527265537941,0.6403173369865254
0.2863697111606598,0.3389492249141372,0.6486366462385647,0.445237006553879
0.24328546226024628,0.6336463223787168,0.28310725772619216,0.3913589793156776
0.5995633006095886,0.8548032348661726,0.667547498876939,0.7496587334559915
6.7159168851138595e-12,0.0,0.0,0.0
0.43806907534599304,0.5754229070143303,0.6472941033876735,0.6092462139577333
0.40129461884498596,0.606878766348254,0.542252527627557,0.5727483826104234
0.48719537258148193,0.6026535357680208,0.717753233636334,0.655186771353795
0.503736138343811,0.7758477638305276,0.5895344817066971,0.669979430050616
0.6493304967880249,0.8461331177580167,0.7362682455009086,0.7873867661348463
0.6682173013687134,0.8428670297595763,0.7633049023080906,0.801115401115401
0.47414132952690125,0.7047994227431402,0.5916346075141197,0.6432779765401114
0.7540714144706726,0.8101929063820325,0.9158680282796544,0.8597955782363093
0.3089882731437683,0.5494221411192214,0.4138602520045819,0.4721024434862145
0.27432745695114136,0.3113548654143485,0.697588784027058,0.4305446832150703
0.15141679346561432,0.25790789347178156,0.26831707926981746,0.2630095350148295
0.6568572521209717,0.8567445789918333,0.73790293240195,0.7928953986890629
0.3184850513935089,0.43406002541792943,0.5446516192345436,0.48310755671617434
0.5986027717590332,0.6929433703013054,0.8147054072142346,0.7489074631931775
0.13511669635772705,0.7292570677186062,0.14225254572036833,0.23806662087912087
0.5809692740440369,0.6977621612280752,0.7763322331528183,0.7349532823686447
0.6556594371795654,0.8469465326463383,0.7437875528521622,0.7920221169036334
0.16685113310813904,0.4703588143525741,0.20545144804088586,0.2859852976049324
0.5119962692260742,0.6182977461447212,0.7486175942549371,0.6772454117264901
0.1486918330192566,0.6625269084285478,0.16087655810213108,0.25888899673234333
0.3406869173049927,0.7194866787557539,0.39287074415416257,0.5082274115676422
0.7273847460746765,0.852461168234522,0.8321445350873447,0.8421803406241896
0.5259037613868713,0.6272328678142254,0.7650029708853239,0.6893013295261889
0.655514657497406,0.8044420204223859,0.779775016888419,0.7919164802386279
0.5116519331932068,0.652354862501317,0.7034596375617792,0.676944102774361
0.4740428924560547,0.8045992902898751,0.5357164774470696,0.6431873860266353
0.6879780888557434,0.8064278070919892,0.8240639493231778,0.8151504979299542
0.4928249418735504,0.794939462922299,0.5646015166690513,0.660258180023258
0.5768634676933289,0.710096524388006,0.7545727545727545,0.7316593556194221
0.37818294763565063,0.44789641335374175,0.7084342079434666,0.5488138686131385
0.4191629886627197,0.5083622118427,0.7049176046590583,0.5907185923599638
0.32906585931777954,0.5042098302843289,0.4864749914937053,0.4951836699352772
0.6948865056037903,0.876309039724742,0.7704551954766462,0.8199799802143639
0.4724443256855011,0.6164058795637744,0.6691900075700227,0.6417143354917391
0.28769785165786743,0.7060764760743239,0.3268410128684101,0.4468406297174898
0.3543953597545624,0.45495663875598086,0.6158789596194717,0.5233263103581717
0.8126459121704102,0.8919923699782,0.901337441814725,0.8966405572331393
0.3714936077594757,0.4481828436902251,0.6846482355585525,0.5417358311595921
0.5474173426628113,0.8056530686357584,0.6307036247334755,0.7075238525526881
0.394306480884552,0.8143887362637363,0.43324112012944643,0.5655951346655083
0.736017644405365,0.8647225456630924,0.8317925742657015,0.8479379686434902
0.34367886185646057,0.7427625354777673,0.39011180124223604,0.5115491122332628
0.5436227917671204,0.607521238560698,0.8378873558018548,0.7043466686948585
0.40251821279525757,0.6583792367624436,0.508782021782482,0.573993553550955
0.14149805903434753,0.18172431595250388,0.38995568685376664,0.24791642211527173
0.17252905666828156,0.1767816581487791,0.8776319267024931,0.29428533447557714
0.6693295240402222,0.7632853734364833,0.8446613593631236,0.8019142027003932
0.6637411117553711,0.8257829690102614,0.7718195621672529,0.797889884559598
0.5746087431907654,0.6686079360250337,0.8034259452684354,0.7298432051616577
0.5491394400596619,0.6202989877321177,0.8271947076703021,0.7089606558633107
0.3887844979763031,0.795846341794489,0.4318544526013406,0.5598917714467612
0.15363770723342896,0.16200339410817632,0.7484420022783622,0.2663534686285265
0.700456976890564,0.8461889085844517,0.8026518063028439,0.8238455659377234
0.3489672839641571,0.5403330407326372,0.4963055669209849,0.5173843500078408
0.5577217936515808,0.8575173759297646,0.6146842450287712,0.7160736862648598
0.3303544521331787,0.7154172791115466,0.38033427393097463,0.49664125166520223
0.07762689888477325,0.8511146496815286,0.07869552414605419,0.1440700808625337
0.696186363697052,0.7727730500025177,0.8753838402083908,0.8208842788433679
0.657866895198822,0.8236087937972323,0.7657579559712558,0.7936305280703619
0.5985485911369324,0.8728674391022717,0.6557124254677541,0.7488650594865371
0.38368892669677734,0.7852915969473125,0.4286573548085277,0.554588425178695
0.6132376790046692,0.7281620612846909,0.7953118321990992,0.7602570750640331
0.6562148332595825,0.8564019546122253,0.7373461012311902,0.7924271844660195
0.6805242896080017,0.7586134717628836,0.8686127888026076,0.8098951931886746
0.5459119081497192,0.785084012306028,0.6418285840634588,0.7062652068126521
0.5773522853851318,0.7280931777457279,0.7360549627764155,0.7320524228542551
0.6002069115638733,0.7767979277627405,0.7252914481371776,0.7501616121869643
0.7282452583312988,0.8437662743464223,0.8417497921862012,0.8427568270481145
0.6244832277297974,0.7241570521420266,0.8193980610035015,0.768839258584017
0.3337640166282654,0.6269942282077845,0.4164553229135948,0.5004843473124632
0.6132766008377075,0.7600989282769992,0.7604750907291323,0.7602869629751793
0.3752368688583374,0.4621210453314546,0.6662011616466182,0.545705074875208
0.13975843787193298,0.76282426370197,0.14610729228930067,0.2452422009719392
0.6147943735122681,0.7578016039051604,0.7651381798979053,0.7614522203731278
0.29667457938194275,0.7555473372781065,0.3281751981152281,0.4575929520680902
0.6558112502098083,0.7651184014602046,0.8211248002474354,0.7921328758267442
0.5699979066848755,0.8040073290383593,0.6619786850941651,0.726112949717092
0.35534903407096863,0.4269422665716322,0.6793950850661625,0.5243653341114677
0.6840299963951111,0.7520978573340626,0.8831504284484291,0.8123727151585246
0.1529555767774582,0.23048542665893637,0.31258041458184416,0.2653277917665261
0.13687948882579803,0.7490950657268051,0.14345652887737603,0.24079857921489375
0.395523339509964,0.5478196755845798,0.5872412495295446,0.5668458911574512
0.3599608838558197,0.6603850985821603,0.44173283712634415,0.52936945083854
0.012422360479831696,0.2654109589041096,0.012864671950865252,0.024539877300613494
0.7211252450942993,0.8548991808443605,0.8216973275796805,0.8379695039567651
0.37680864334106445,0.5286000572573719,0.5675119102504994,0.5473653005261988
0.575246274471283,0.8715844371920394,0.6285157241411135,0.7303572625511093
0.6078305244445801,0.7965444959664613,0.7195421095666394,0.7560878183339238
0.48774009943008423,0.8454108265855563,0.5354994923064906,0.6556791737065255
0.5389485955238342,0.6768674698795181,0.7256522862309481,0.7004114200224412
0.3073108196258545,0.48731516533160435,0.4541379175924843,0.4701419505846508
0.2114790678024292,0.7949425287356322,0.22368123160516187,0.3491254196218986
0.5723800659179688,0.8218230946515139,0.6534734802207525,0.7280428992173475
0.539832353591919,0.6621985202267704,0.744986757472569,0.701157319089406
0.4837101995944977,0.6472345898881963,0.6568926735218509,0.652027868868799
0.6711375117301941,0.8864660429597727,0.7342506407662215,0.8032104149928676
0.6213551759719849,0.7569059558370722,0.7762665223079352,0.7664639985746419
0.5595561861991882,0.8693406667113824,0.6109356587320293,0.7175838777544016
0.6806619167327881,0.8497648963231327,0.773776935495192,0.8099926524614254
0.31079602241516113,0.48102016607354686,0.46758916069516515,0.4742095810884184
0.48567864298820496,0.6499934529265419,0.6576794408929814,0.6538138592996263
0.5594232678413391,0.7677015122249965,0.6734162568701186,0.7174745740324924
0.42792853713035583,0.7180056632058187,0.5143789029871525,0.5993696700037078
0.27554529905319214,0.5411359412537963,0.3595566532136618,0.4320431391708738
0.5934368371963501,0.7977392770503932,0.6985401569820872,0.74485140562249
0.39255550503730774,0.728047349354559,0.4600083819594442,0.5637915366075309
0.6849207878112793,0.843152404867684,0.7849307678475095,0.8130005587632706
0.5494588613510132,0.7333514541995108,0.6866387929467369,0.7092267828307484
0.61997389793396,0.8405040896387272,0.7026375298745003,0.7654122083486564
0.542618989944458,0.6661281202035706,0.745322527191106,0.7035035832101013
0.6796190142631531,0.7094113659473505,0.9418029098545073,0.809253769815698
0.5393349528312683,0.6302263351544208,0.7890145170295924,0.7007376185458377
0.2308824360370636,0.7871900826446281,0.24625280847003786,0.37514945492908214
0.5494378209114075,0.6462908818929761,0.785699524695185,0.7092092745621071
0.6653852462768555,0.8166251836746934,0.7822664815435438,0.7990766642539956
0.6439191699028015,0.7793062720372397,0.7875272063469775,0.7833951722030644
0.16287332773208618,0.25673015608971694,0.30820436012647695,0.2801222131469886
0.15700854361057281,0.5632421270005162,0.1787743063141796,0.27140428707657865
0.38481396436691284,0.4245020964360587,0.8045328123965301,0.5557626769744517
0.16759046912193298,0.5719183953368764,0.19162869069046068,0.2870706346360703
0.503075361251831,0.7496550196766555,0.6046581930608038,0.6693947092200739
0.05688450485467911,0.6616793211255024,0.05858857493128745,0.10764563768142267
0.559662938117981,0.7184933670246367,0.7168518080831955,0.7176716488543597
0.6259086728096008,0.6846765512691413,0.8794041566318794,0.7699185880791082
0.5817303657531738,0.7678552998245433,0.7058753765506772,0.7355620095161589
0.4420626759529114,0.7902418272849242,0.5008295657223444,0.6130977315713978
0.5690577030181885,0.7287883128043541,0.7219431911693766,0.7253496029992446
0.3385995924472809,0.36997129115245514,0.7997259832366216,0.5059012465268041
0.5242747068405151,0.887356132512508,0.5616545468762217,0.6879005291174194
0.35526832938194275,0.6017870156205444,0.46445601936761793,0.5242774726033069
0.38892990350723267,0.670524083611027,0.48081852543771997,0.5600425079702445
0.4428168535232544,0.5844196393724144,0.6463411124859716,0.6138226934849148
0.5272814035415649,0.63685578172369,0.7539736797128695,0.6904836437627172
0.6741870045661926,0.9114294873920782,0.7214536354010798,0.8053903037052232
0.3868294060230255,0.43261665702921026,0.7851736420302761,0.557861557059415
0.2712360918521881,0.29214609160418675,0.7912143144350623,0.42672811059907834
0.7662698030471802,0.8507383306219497,0.8852896651636742,0.8676701685532183
0.2748829424381256,0.29110512129380056,0.8314440088992479,0.4312285361051331
0.5924683809280396,0.6806622779013188,0.820548890540397,0.7440880919429569
0.3447970151901245,0.47047104027323183,0.5634667007541864,0.512786707253233
0.5373610258102417,0.8543609883816069,0.5915476999773397,0.699069424917989
0.04663243889808655,0.15406106565555777,0.06268268918480026,0.08910948231084435
0.6077738404273987,0.7521865889212828,0.759941089837997,0.7560439560439559
