IoU,P,R,f1
0.2003902792930603,0.30235240552435877,0.37273611734770246,0.33387521158390454
0.5096932053565979,0.6004368980240294,0.7713010204081633,0.675227513818324
0.42108115553855896,0.6126675797949612,0.5738444193912063,0.5926208447085275
0.36151063442230225,0.4525815456580238,0.6424160211330454,0.5310434372049102
0.0683782771229744,0.4698581560283688,0.07409478540472529,0.12800386426760055
0.5156890749931335,0.5927806293238117,0.7986019767747754,0.6804681620955217
0.25532981753349304,0.29646249781455797,0.6479223053653876,0.4067932147819394
0.20770326256752014,0.21598561506187638,0.8441504754030591,0.3439640651319484
0.3937515318393707,0.4639833583280925,0.7223226389516494,0.5650240065981325
0.5618712306022644,0.8561458711525274,0.6204467052563878,0.7194847020933978
0.05811576172709465,0.10230088495575221,0.11859653922440326,0.109847644990656
0.3615301549434662,0.5303068729393863,0.5318242512875946,0.5310644782374043
0.5736653804779053,0.7800864019749023,0.6843375668298405,0.7290817981902736
0.5610455274581909,0.6181461601981834,0.8586298855848364,0.7188073890029167
0.4977111220359802,0.7674516947498536,0.5861032443980723,0.6646289931827145
0.4110240340232849,0.6027271490750816,0.5637543335135651,0.5825896892307186
0.5442463755607605,0.8004052369077307,0.6297086521483225,0.704869880311848
0.5535438060760498,0.8069364161849711,0.6380453644025781,0.7126208048174842
0.3165311813354492,0.6526797799729286,0.3806476535993819,0.4808563456784885
0.06742209941148758,0.09293244826239751,0.19718309859154928,0.12632696390658174
0.3466634154319763,0.5655946148092745,0.47245767124143534,0.5148478899769652
0.24047239124774933,0.4494196740026638,0.3409025305494083,0.387710994993571
0.48365986347198486,0.7082636732744209,0.6039868632093485,0.6519821367227756
0.015466372482478619,0.019464950470061203,0.07001815705855652,0.030461614416193532
0.6270356178283691,0.7791540193870558,0.7625656833463769,0.7707706091743415
0.31565678119659424,0.6336472452033093,0.38612533855353837,0.4798467049904191
0.5316726565361023,0.6978765131534456,0.6906371302369161,0.6942379494769417
0.2962126135826111,0.37628137956171126,0.5819475760992108,0.4570432472814809
0.1867503970861435,0.6808608058608059,0.2046658867249329,0.31472564685962223
0.407802015542984,0.6486991372868691,0.5233893288756132,0.5793456994221406
